37	1	plant; animal	DESTROY	watery environment	-
37	2	plant; animal	NONE	-	-
37	3	plant; animal	NONE	-	-
37	4	plant; animal	NONE	-	-
37	5	plant; animal	NONE	-	-
37	6	plant; animal	NONE	-	-
37	1	soft tissues	NONE	-	-
37	2	soft tissues	NONE	-	-
37	3	soft tissues	CREATE	-	watery environment
37	4	soft tissues	NONE	watery environment	watery environment
37	5	soft tissues	NONE	watery environment	watery environment
37	6	soft tissues	NONE	watery environment	watery environment
37	1	bones	NONE	-	-
37	2	bones	NONE	-	-
37	3	bones	CREATE	-	mud
37	4	bones	NONE	mud	mud
37	5	bones	NONE	mud	mud
37	6	bones	NONE	mud	mud
37	1	mineral	NONE	-	-
37	2	mineral	NONE	-	-
37	3	mineral	NONE	-	-
37	4	mineral	NONE	-	-
37	5	mineral	CREATE	-	watery environment
37	6	mineral	NONE	watery environment	watery environment
37	1	fossils	NONE	-	-
37	2	fossils	NONE	-	-
37	3	fossils	NONE	-	-
37	4	fossils	NONE	-	-
37	5	fossils	NONE	-	-
37	6	fossils	CREATE	-	watery environment
38	1	animal; body	MOVE	?	?
38	2	animal; body	MOVE	?	?
38	3	animal; body	MOVE	?	wet place
38	4	animal; body	NONE	wet place	wet place
38	5	animal; body	NONE	wet place	wet place
38	6	animal; body	NONE	wet place	wet place
38	7	animal; body	NONE	wet place	wet place
38	1	soil	NONE	-	-
38	2	soil	NONE	-	-
38	3	soil	NONE	-	-
38	4	soil	CREATE	-	wet place
38	5	soil	NONE	wet place	wet place
38	6	soil	NONE	wet place	wet place
38	7	soil	NONE	wet place	wet place
38	1	rock	NONE	-	-
38	2	rock	NONE	-	-
38	3	rock	NONE	-	-
38	4	rock	NONE	-	-
38	5	rock	CREATE	-	wet place
38	6	rock	NONE	wet place	wet place
38	7	rock	NONE	wet place	wet place
38	1	fossil	NONE	-	-
38	2	fossil	NONE	-	-
38	3	fossil	NONE	-	-
38	4	fossil	NONE	-	-
38	5	fossil	NONE	-	-
38	6	fossil	CREATE	-	?
38	7	fossil	NONE	?	?
67	1	plants; dead plants	DESTROY	swamp	-
67	2	plants; dead plants	NONE	-	-
67	3	plants; dead plants	NONE	-	-
